domain,sub_domain,plaintext,ParityShift
Enterprise Sensitive Data,Business Information,TechInnovate Corp is developing the EcoTech Widget.,UdbiHoonwzud Bnsq hr edwdmnqhof uid DbnUdbi Vhefdu.
Enterprise Sensitive Data,Business Information,"Our company partners with over 50 exclusive suppliers, including Whittaker Elements Co. and Lumino-Tech Ltd.","Nts bnlqzox qzsuodsr vhui nwds 50 dybmtrhwd rtqqmhdsr, hobmtehof Vihuuzjds Dmdldour Bn. zoe Mtlhon-Udbi Mue."
Enterprise Sensitive Data,Business Information,2024-2028 Strategic Launch Plan: Growth targets segmented by vertical market.,2024-2028 Ruszudfhb Mztobi Qmzo: Fsnvui uzsfdur rdfldoude cx wdsuhbzm lzsjdu.
Enterprise Sensitive Data,Business Information,SimLytics Ltd; Supplier Since: 2018; Agreement Renewal: 2024; Contact: suppliercontact@simlytics.com.,RhlMxuhbr Mue; Rtqqmhds Rhobd: 2018; Zfsddldou Sdodvzm: 2024; Bnouzbu: rtqqmhdsbnouzbu@rhlmxuhbr.bnl.
Enterprise Sensitive Data,Business Information,"Marketing Plan: Autumn Sale 2023, Target Region: North America, Budget: $200,000.","Lzsjduhof Qmzo: Ztutlo Rzmd 2023, Uzsfdu Sdfhno: Onsui Zldshbz, Ctefdu: $200,000."
Enterprise Sensitive Data,Business Information,"Bidding proposal for Project Alpha: Quote: $1,275,000 across five phases.","Cheehof qsnqnrzm gns Qsnkdbu Zmqiz: Ptnud: $1,275,000 zbsnrr ghwd qizrdr."
Enterprise Sensitive Data,Business Information,"Supplier Information: 20 potential suppliers, enhancing negotiation power by 10%.","Rtqqmhds Hognslzuhno: 20 qnudouhzm rtqqmhdsr, doizobhof odfnuhzuhno qnvds cx 10%."
Enterprise Sensitive Data,Business Information,"Company XYZ: 18% sales increase, targets set for 25% growth next quarter.","Bnlqzox YXA: 18% rzmdr hobsdzrd, uzsfdur rdu gns 25% fsnvui odyu ptzsuds."
Enterprise Sensitive Data,Business Information,"Client: Global Solutions Inc., Bidding Document: Urban Infrastructure Revamp, Quote: $500,000.","Bmhdou: Fmnczm Rnmtuhnor Hob., Cheehof Enbtldou: Tsczo Hogszrustbutsd Sdwzlq, Ptnud: $500,000."
Enterprise Sensitive Data,Business Information,"Supplier: Acme Corp, Agreement: $150,000, Start: 2023-01-01, End: 2025-12-31, Status: Active.","Rtqqmhds: Zbld Bnsq, Zfsddldou: $150,000, Ruzsu: 2023-01-01, Doe: 2025-12-31, Ruzutr: Zbuhwd."
Enterprise Sensitive Data,Business Information,"Company X Annual Strategic Plan: Expanding market share, strengthening collaboration with suppliers like ABC Supplies Co., joint ventures and bid proposals including $3.6m for Project YQ501_PR.","Bnlqzox Y Zootzm Ruszudfhb Qmzo: Dyqzoehof lzsjdu rizsd, rusdofuidohof bnmmzcnszuhno vhui rtqqmhdsr mhjd ZCB Rtqqmhdr Bn., knhou wdoutsdr zoe che qsnqnrzmr hobmtehof $3.6l gns Qsnkdbu XP501_QS."
Enterprise Sensitive Data,Business Information,"Upcoming marketing strategy: Digital footprint expansion, influencer partnerships, budget: $5 million for the next quarter.","Tqbnlhof lzsjduhof ruszudfx: Ehfhuzm gnnuqshou dyqzorhno, hogmtdobds qzsuodsrihqr, ctefdu: $5 lhmmhno gns uid odyu ptzsuds."
Enterprise Sensitive Data,Business Information,"Confidential report: Corporation XYZ plans to enter Southeast Asia by Q3 2024, including workforce training and a $150 million bidding proposal for an infrastructure project.","Bnoghedouhzm sdqnsu: Bnsqnszuhno YXA qmzor un douds Rntuidzru Zrhz cx P3 2024, hobmtehof vnsjgnsbd uszhohof zoe z $150 lhmmhno cheehof qsnqnrzm gns zo hogszrustbutsd qsnkdbu."
Enterprise Sensitive Data,Business Information,"Confidential report: Marketing strategies for the upcoming year, digital advertising investment, projected 25% brand visibility increase, 20% profit increase.","Bnoghedouhzm sdqnsu: Lzsjduhof ruszudfhdr gns uid tqbnlhof xdzs, ehfhuzm zewdsuhrhof howdruldou, qsnkdbude 25% cszoe whrhchmhux hobsdzrd, 20% qsnghu hobsdzrd."
Enterprise Sensitive Data,Intellectual Property,Application No. PAT-202310015648; Inventor: John A. Doe.,Zqqmhbzuhno On. QZU-202310015648; Howdouns: Knio Z. End.
Enterprise Sensitive Data,Intellectual Property,"Patent information, internal technical documents, and copyright data.","Qzudou hognslzuhno, houdsozm udbiohbzm enbtldour, zoe bnqxshfiu ezuz."
Enterprise Sensitive Data,Intellectual Property,Product design plan for the high-efficiency solar panel prototype.,Qsnetbu edrhfo qmzo gns uid ihfi-dgghbhdobx rnmzs qzodm qsnunuxqd.
Enterprise Sensitive Data,Intellectual Property,"Registered design for the digital interface aesthetic, Patent No. 2047-DI-29.","Sdfhrudsde edrhfo gns uid ehfhuzm houdsgzbd zdruiduhb, Qzudou On. 2047-EH-29."
Enterprise Sensitive Data,Intellectual Property,"Trademark: GlimpseTech, Registration No. 3589274, owned by Visionary Innovations LLC.","Uszedlzsj: FmhlqrdUdbi, Sdfhruszuhno On. 3589274, nvode cx Whrhnozsx Hoonwzuhnor MMB."
Enterprise Sensitive Data,Intellectual Property,"Registrant contact: contact@vinnovations.com; Registration date: March 15, 2022.","Sdfhruszou bnouzbu: bnouzbu@whoonwzuhnor.bnl; Sdfhruszuhno ezud: Lzsbi 15, 2022."
Enterprise Sensitive Data,Intellectual Property,"Product test: AlphaV1 Load Test, Result: Pass, Minor latency observed.","Qsnetbu udru: ZmqizW1 Mnze Udru, Sdrtmu: Qzrr, Lhons mzudobx ncrdswde."
Enterprise Sensitive Data,Intellectual Property,"Patent ID: US10203456B, Patent owner: TechNova Innovations, Filing date: July 15, 2021.","Qzudou HE: TR10203456C, Qzudou nvods: UdbiOnwz Hoonwzuhnor, Ghmhof ezud: Ktmx 15, 2021."
Enterprise Sensitive Data,Intellectual Property,Algorithm ID: A148GH9 — Predictive Market Analysis — Proprietary algorithm by TechInnovate Corp.,Zmfnshuil HE: Z148FI9 — Qsdehbuhwd Lzsjdu Zozmxrhr — Qsnqshduzsx zmfnshuil cx UdbiHoonwzud Bnsq.
Enterprise Sensitive Data,Intellectual Property,"IC790-2023-TR-NV, Confidential Manual for Quantum Processor QPR-X4, with schematics and protocols.","HB790-2023-US-OW, Bnoghedouhzm Lzotzm gns Ptzoutl Qsnbdrrns PQS-Y4, vhui rbidlzuhbr zoe qsnunbnmr."
Enterprise Sensitive Data,Intellectual Property,"Blueprints for widget design Version 2.0, including assembly instructions and UI layouts.","Cmtdqshour gns vhefdu edrhfo Wdsrhno 2.0, hobmtehof zrrdlcmx horustbuhnor zoe TH mzxntur."
Enterprise Sensitive Data,Intellectual Property,"SynthePure Bio-Polymer production formula: SPB-256, polymer chain ratio 1.5:3.4:2.8, catalyst CX-47.","RxouidQtsd Chn-Qnmxlds qsnetbuhno gnsltmz: RQC-256, qnmxlds bizho szuhn 1.5:3.4:2.8, bzuzmxru BY-47."
Enterprise Sensitive Data,Intellectual Property,"Patent-pending design specification PR2023_KURITY, Company Z, including batch performance analysis.","Qzudou-qdoehof edrhfo rqdbhghbzuhno QS2023_JTSHUX, Bnlqzox A, hobmtehof czubi qdsgnslzobd zozmxrhr."
Enterprise Sensitive Data,Intellectual Property,"Confidential product design plans for Quantum Widget 2.0, including prototype drawings and guidelines.","Bnoghedouhzm qsnetbu edrhfo qmzor gns Ptzoutl Vhefdu 2.0, hobmtehof qsnunuxqd eszvhofr zoe fthedmhodr."
Enterprise Sensitive Data,Intellectual Property,"Modular beam optics design, Prototype #SX2-481, operates with zero-margin error at 60 mph.","Lnetmzs cdzl nquhbr edrhfo, Qsnunuxqd #RY2-481, nqdszudr vhui adsn-lzsfho dssns zu 60 lqi."
Enterprise Sensitive Data,Intellectual Property,"Patent No. US2023IP123456 - Smart Sensor System for Autonomous Vehicles, including algorithm synchronization details.","Qzudou On. TR2023HQ123456 - Rlzsu Rdorns Rxrudl gns Ztunonlntr Wdihbmdr, hobmtehof zmfnshuil rxobisnohazuhno eduzhmr."
Enterprise Sensitive Data,Intellectual Property,"Copyright registration for InnovateSoft, TX-345678-890, and EcoChair Design patent D908776.","Bnqxshfiu sdfhruszuhno gns HoonwzudRngu, UY-345678-890, zoe DbnBizhs Edrhfo qzudou E908776."
Enterprise Sensitive Data,Employee Information,"Lucas, lucas@ucc.company.com","Mtbzr, mtbzr@tbb.bnlqzox.bnl"
Enterprise Sensitive Data,Employee Information,"Jane Doe, Department: Development","Kzod End, Edqzsuldou: Edwdmnqldou"
Enterprise Sensitive Data,Employee Information,"Employee ID: WN-05721, Name: Jane Smith","Dlqmnxdd HE: VO-05721, Ozld: Kzod Rlhui"
Enterprise Sensitive Data,Employee Information,Non-Disclosure Agreement: Signed on 2022-03-10,Ono-Ehrbmnrtsd Zfsddldou: Rhfode no 2022-03-10
Enterprise Sensitive Data,Employee Information,"Tyler, Software Engineer, Research Department","Uxmds, Rnguvzsd Dofhodds, Sdrdzsbi Edqzsuldou"
Enterprise Sensitive Data,Employee Information,"Jordan Collins, Marketing Specialist, jordan.collins@demoenterprise.org","Knsezo Bnmmhor, Lzsjduhof Rqdbhzmhru, knsezo.bnmmhor@edlndoudsqshrd.nsf"
Enterprise Sensitive Data,Employee Information,"Employee ID: WN123456, Phone: +1-555-0123, Email: john.doe@companyemail.com","Dlqmnxdd HE: VO123456, Qinod: +1-555-0123, Dlzhm: knio.end@bnlqzoxdlzhm.bnl"
Enterprise Sensitive Data,Employee Information,"Employee ID: 123, Salary: $90,000, Bonus: $5,000, Allowances: $2,000, Department: IT","Dlqmnxdd HE: 123, Rzmzsx: $90,000, Cnotr: $5,000, Zmmnvzobdr: $2,000, Edqzsuldou: HU"
Enterprise Sensitive Data,Employee Information,"Employee ID: EMP-12345, ID Card: XY123456789, Passport: P987654321","Dlqmnxdd HE: DLQ-12345, HE Bzse: YX123456789, Qzrrqnsu: Q987654321"
Enterprise Sensitive Data,Employee Information,"Employee ID: 10023456, Employment Start: 2020-06-15, 4 years in Software Development","Dlqmnxdd HE: 10023456, Dlqmnxldou Ruzsu: 2020-06-15, 4 xdzsr ho Rnguvzsd Edwdmnqldou"
Enterprise Sensitive Data,Employee Information,"Jackson, Employee ID: JD123456, Position: Software Engineer, Start Date: 2020-01-15, Location: New York Office","Kzbjrno, Dlqmnxdd HE: KE123456, Qnrhuhno: Rnguvzsd Dofhodds, Ruzsu Ezud: 2020-01-15, Mnbzuhno: Odv Xnsj Ngghbd"
Enterprise Sensitive Data,Employee Information,"John Doe, Email: John.Doe@companyemail.com, Phone: +1-234-567-8901, Salary: $75,000, Bonus: $5,000, ID: 102934, Full-Time","Knio End, Dlzhm: Knio.End@bnlqzoxdlzhm.bnl, Qinod: +1-234-567-8901, Rzmzsx: $75,000, Cnotr: $5,000, HE: 102934, Gtmm-Uhld"
Enterprise Sensitive Data,Employee Information,"Employee ID: EM-20230215, Name: Pinkman, Position: Senior Software Engineer, Department: IT & Development, Start Date: 2020-03-15, Phone: (555) 983-4810","Dlqmnxdd HE: DL-20230215, Ozld: Qhojlzo, Qnrhuhno: Rdohns Rnguvzsd Dofhodds, Edqzsuldou: HU & Edwdmnqldou, Ruzsu Ezud: 2020-03-15, Qinod: (555) 983-4810"
Enterprise Sensitive Data,Employee Information,"Lee, Software Engineer, Employed since 2015-06-01, 8 years experience, Phone: (555) 123-4567, Email: 183938201@gmail.com","Mdd, Rnguvzsd Dofhodds, Dlqmnxde rhobd 2015-06-01, 8 xdzsr dyqdshdobd, Qinod: (555) 123-4567, Dlzhm: 183938201@flzhm.bnl"
Enterprise Sensitive Data,Employee Information,"John's Salary: $95,000/year, 10% annual bonus, Health Insurance, Retirement Plan, Remote Work Allowances","Knio'r Rzmzsx: $95,000/xdzs, 10% zootzm cnotr, Idzmui Hortszobd, Sduhsdldou Qmzo, Sdlnud Vnsj Zmmnvzobdr"
Enterprise Sensitive Data,Employee Information,"Employee Howard, ID: EA-6784, Senior Data Analyst, Department: Business Intelligence, Full-Time, Contract: 2023-01-15 to 2028-01-14, NDA Signed","Dlqmnxdd Invzse, HE: DZ-6784, Rdohns Ezuz Zozmxru, Edqzsuldou: Ctrhodrr Houdmmhfdobd, Gtmm-Uhld, Bnouszbu: 2023-01-15 un 2028-01-14, OEZ Rhfode"
Enterprise Sensitive Data,Employee Information,John's Employee ID: E123456 at Corporation.com. HR records track career mobility and training progress post-session 102 (ID: ST-X2022-204).,Knio'r Dlqmnxdd HE: D123456 zu Bnsqnszuhno.bnl. IS sdbnser uszbj bzsdds lnchmhux zoe uszhohof qsnfsdrr qnru-rdrrhno 102 (HE: RU-Y2022-204).
