domain,sub_domain,plaintext,ciphertext,algorithm
Personal Privacy Data,Health Information,"Patient Name: Michael; Date of Birth: 1990-12-25; EMR ID: 391741601; Health Condition: Asthma; Treatment: Albuterol Inhaler; Allergies: Dust Mites, Pollen.","Kzgrvmg Mznv: Nrxszvo; Wzgv lu Yrigs: 1990-12-25; VNI RW: 391741601; Svzogs Xlmwrgrlm: Zhgsnz; Givzgnvmg: Zoyfgvilo Rmszovi; Zoovitrvh: Wfhg Nrgvh, Kloovm.",AtBash
Personal Privacy Data,Health Information,"Ethan, 34, average daily step count: 7,500, sleep: 6.5 hours/night.","Vgszm, 34, zeviztv wzrob hgvk xlfmg: 7,500, hovvk: 6.5 slfih/mrtsg.",AtBash
Personal Privacy Data,Health Information,"Patient ID: MRN903481; MRI: Mild lumbar disc herniation; Blood Test: Elevated cholesterol, follow-up with cardiologist recommended.","Kzgrvmg RW: NIM903481; NIR: Nrow ofnyzi wrhx svimrzgrlm; Yollw Gvhg: Vovezgvw xslovhgvilo, uloold-fk drgs xziwrloltrhg ivxlnnvmwvw.",AtBash
Personal Privacy Data,Health Information,"Medical Record Number: MR123456; Patient ID: PID987654; Allergy: Shellfish, bee stings, latex; reactions: anaphylaxis.","Nvwrxzo Ivxliw Mfnyvi: NI123456; Kzgrvmg RW: KRW987654; Zoovitb: Hsvoourhs, yvv hgrmth, ozgvc; ivzxgrlmh: zmzksbozcrh.",AtBash
Personal Privacy Data,Health Information,"Patient ID: MRN456789; Medical History: Emily, 38, diagnosed with asthma, treated with inhalers. Allergic to dust mites, pollen.","Kzgrvmg RW: NIM456789; Nvwrxzo Srhglib: Vnrob, 38, wrztmlhvw drgs zhgsnz, givzgvw drgs rmszovih. Zoovitrx gl wfhg nrgvh, kloovm.",AtBash
Personal Privacy Data,Health Information,"Vaccination: Fully vaccinated for COVID-19, Tetanus booster 2022-06-10. Diagnosed with mild anxiety disorder, counseling bi-weekly.","Ezxxrmzgrlm: Ufoob ezxxrmzgvw uli XLERW-19, Gvgzmfh yllhgvi 2022-06-10. Wrztmlhvw drgs nrow zmcrvgb wrhliwvi, xlfmhvormt yr-dvvpob.",AtBash
Personal Privacy Data,Health Information,"Patient Name: Justin; Date of Birth: 1984-06-15; EMR ID: 16697101; Condition: Type 2 Diabetes; Treatment: Metformin 500mg; Surgery: Appendectomy, 2022-08-11.","Kzgrvmg Mznv: Qfhgrm; Wzgv lu Yrigs: 1984-06-15; VNI RW: 16697101; Xlmwrgrlm: Gbkv 2 Wrzyvgvh; Givzgnvmg: Nvgulinrm 500nt; Hfitvib: Zkkvmwvxglnb, 2022-08-11.",AtBash
Personal Privacy Data,Health Information,"Medical Record Number: MR789504; Allergy: Penicillin, peanuts; reactions: anaphylactic shock.","Nvwrxzo Ivxliw Mfnyvi: NI789504; Zoovitb: Kvmrxroorm, kvzmfgh; ivzxgrlmh: zmzksbozxgrx hslxp.",AtBash
Personal Privacy Data,Health Information,"Patient ID: 74823290-LA; Name: Jonathan Smith; DOB: 1975-06-10; Admission: 2023-07-15; Diagnosis: COPD Stage 2; Prescription: Albuterol, Spiriva; CT Scan: Emphysema.","Kzgrvmg RW: 74823290-OZ; Mznv: Qlmzgszm Hnrgs; WLY: 1975-06-10; Zwnrhhrlm: 2023-07-15; Wrztmlhrh: XLKW Hgztv 2; Kivhxirkgrlm: Zoyfgvilo, Hkrirez; XG Hxzm: Vnksbhvnz.",AtBash
Personal Privacy Data,Education Data,"Jimmy, GPA: 3.71.","Qrnnb, TKZ: 3.71.",AtBash
Personal Privacy Data,Education Data,Taylor was disciplined multiple times in middle school.,Gzboli dzh wrhxrkormvw nfogrkov grnvh rm nrwwov hxsllo.,AtBash
Personal Privacy Data,Education Data,"Howard, ranked 11th.","Sldziw, izmpvw 11gs.",AtBash
Personal Privacy Data,Education Data,"John Doe, Mathematics: Score: 90, Credits: 3.","Qlsm Wlv, Nzgsvnzgrxh: Hxliv: 90, Xivwrgh: 3.",AtBash
Personal Privacy Data,Education Data,"Student ID: S1972705010; Math: Score: 87, GPA: 3.75.","Hgfwvmg RW: H1972705010; Nzgs: Hxliv: 87, TKZ: 3.75.",AtBash
Personal Privacy Data,Education Data,"Emily R., Enrollment: 2020; Developmental Psychology: Score: 92, GPA: 3.8.","Vnrob I., Vmiloonvmg: 2020; Wvevolknvmgzo Khbxsloltb: Hxliv: 92, TKZ: 3.8.",AtBash
Personal Privacy Data,Education Data,"Sarah Lee, Advanced Data Science, Spring 2024; Payment: $2000, Bank Transfer.","Hzizs Ovv, Zwezmxvw Wzgz Hxrvmxv, Hkirmt 2024; Kzbnvmg: $2000, Yzmp Gizmhuvi.",AtBash
Personal Privacy Data,Education Data,"Sam, Subjects: Calculus (A), Biology (B+); GPA: 3.7, Ranking: Top 5%, Awards: Deans List (2023-06-10), Penalties: Late Submission (2023-09-15).","Hzn, Hfyqvxgh: Xzoxfofh (Z), Yrloltb (Y+); TKZ: 3.7, Izmprmt: Glk 5%, Zdziwh: Wvzmh Orhg (2023-06-10), Kvmzogrvh: Ozgv Hfynrhhrlm (2023-09-15).",AtBash
Personal Privacy Data,Education Data,"Student ID: EN2979017107, Electrical Engineering, GPA: 3.7, Deans List 2022-2023, Innovation Award 2024, Robotics Club President.","Hgfwvmg RW: VM2979017107, Vovxgirxzo Vmtrmvvirmt, TKZ: 3.7, Wvzmh Orhg 2022-2023, Rmmlezgrlm Zdziw 2024, Ilylgrxh Xofy Kivhrwvmg.",AtBash
Personal Privacy Data,Education Data,"Jessica Brown, Bachelors in Biology, GPA: 3.9, Graduated 2023, Courses: Genetics, Microbiology, Ecology, Biochemistry.","Qvhhrxz Yildm, Yzxsvolih rm Yrloltb, TKZ: 3.9, Tizwfzgvw 2023, Xlfihvh: Tvmvgrxh, Nrxilyrloltb, Vxloltb, Yrlxsvnrhgib.",AtBash
Personal Privacy Data,Education Data,"Student ID: EN2023XD8921, Computer Science, GPA: 3.8, Deans List 2021-2022, Outstanding Thesis Award 2023, Coding Club VP.","Hgfwvmg RW: VM2023CW8921, Xlnkfgvi Hxrvmxv, TKZ: 3.8, Wvzmh Orhg 2021-2022, Lfghgzmwrmt Gsvhrh Zdziw 2023, Xlwrmt Xofy EK.",AtBash
Personal Privacy Data,Education Data,"Alex Smith, Bachelors in Computer Science, GPA: 3.85, Expected Graduation: 2024, Courses: Algorithms, Data Structures, Machine Learning.","Zovc Hnrgs, Yzxsvolih rm Xlnkfgvi Hxrvmxv, TKZ: 3.85, Vckvxgvw Tizwfzgrlm: 2024, Xlfihvh: Zotlirgsnh, Wzgz Hgifxgfivh, Nzxsrmv Ovzimrmt.",AtBash
Personal Privacy Data,Education Data,"David Wilson, Masters in Data Science, GPA: 3.95, Expected Graduation: 2023, Courses: Big Data Analytics, Machine Learning, Data Visualization.","Wzerw Drohlm, Nzhgvih rm Wzgz Hxrvmxv, TKZ: 3.95, Vckvxgvw Tizwfzgrlm: 2023, Xlfihvh: Yrt Wzgz Zmzobgrxh, Nzxsrmv Ovzimrmt, Wzgz Erhfzorazgrlm.",AtBash
Personal Privacy Data,Education Data,"Michael T., Business Administration, Financial Accounting: Score: 90, GPA: 3.7, Marketing: Score: 85, Ranking: 20th.","Nrxszvo G., Yfhrmvhh Zwnrmrhgizgrlm, Urmzmxrzo Zxxlfmgrmt: Hxliv: 90, TKZ: 3.7, Nzipvgrmt: Hxliv: 85, Izmprmt: 20gs.",AtBash
Enterprise Sensitive Data,Business Information,Supplier ID: SUP12345; Name: Global Supplies Inc.,Hfkkorvi RW: HFK12345; Mznv: Tolyzo Hfkkorvh Rmx.,AtBash
Enterprise Sensitive Data,Business Information,TechInnovate Corp is developing the EcoTech Widget.,GvxsRmmlezgv Xlik rh wvevolkrmt gsv VxlGvxs Drwtvg.,AtBash
Enterprise Sensitive Data,Business Information,"Our company partners with over 50 exclusive suppliers, including Whittaker Elements Co. and Lumino-Tech Ltd.","Lfi xlnkzmb kzigmvih drgs levi 50 vcxofhrev hfkkorvih, rmxofwrmt Dsrggzpvi Vovnvmgh Xl. zmw Ofnrml-Gvxs Ogw.",AtBash
Enterprise Sensitive Data,Business Information,2024-2028 Strategic Launch Plan: Growth targets segmented by vertical market.,2024-2028 Hgizgvtrx Ozfmxs Kozm: Tildgs gzitvgh hvtnvmgvw yb evigrxzo nzipvg.,AtBash
Enterprise Sensitive Data,Business Information,SimLytics Ltd; Supplier Since: 2018; Agreement Renewal: 2024; Contact: suppliercontact@simlytics.com.,HrnObgrxh Ogw; Hfkkorvi Hrmxv: 2018; Ztivvnvmg Ivmvdzo: 2024; Xlmgzxg: hfkkorvixlmgzxg@hrnobgrxh.xln.,AtBash
Enterprise Sensitive Data,Business Information,"Marketing Plan: Autumn Sale 2023, Target Region: North America, Budget: $200,000.","Nzipvgrmt Kozm: Zfgfnm Hzov 2023, Gzitvg Ivtrlm: Mligs Znvirxz, Yfwtvg: $200,000.",AtBash
Enterprise Sensitive Data,Business Information,"Bidding proposal for Project Alpha: Quote: $1,275,000 across five phases.","Yrwwrmt kilklhzo uli Kilqvxg Zoksz: Jflgv: $1,275,000 zxilhh urev kszhvh.",AtBash
Enterprise Sensitive Data,Business Information,"Supplier Information: 20 potential suppliers, enhancing negotiation power by 10%.","Hfkkorvi Rmulinzgrlm: 20 klgvmgrzo hfkkorvih, vmszmxrmt mvtlgrzgrlm kldvi yb 10%.",AtBash
Enterprise Sensitive Data,Business Information,"Company XYZ: 18% sales increase, targets set for 25% growth next quarter.","Xlnkzmb CBA: 18% hzovh rmxivzhv, gzitvgh hvg uli 25% tildgs mvcg jfzigvi.",AtBash
Enterprise Sensitive Data,Business Information,"Client: Global Solutions Inc., Bidding Document: Urban Infrastructure Revamp, Quote: $500,000.","Xorvmg: Tolyzo Hlofgrlmh Rmx., Yrwwrmt Wlxfnvmg: Fiyzm Rmuizhgifxgfiv Iveznk, Jflgv: $500,000.",AtBash
Enterprise Sensitive Data,Business Information,"Supplier: Acme Corp, Agreement: $150,000, Start: 2023-01-01, End: 2025-12-31, Status: Active.","Hfkkorvi: Zxnv Xlik, Ztivvnvmg: $150,000, Hgzig: 2023-01-01, Vmw: 2025-12-31, Hgzgfh: Zxgrev.",AtBash
Enterprise Sensitive Data,Business Information,"Company X Annual Strategic Plan: Expanding market share, strengthening collaboration with suppliers like ABC Supplies Co., joint ventures and bid proposals including $3.6m for Project YQ501_PR.","Xlnkzmb C Zmmfzo Hgizgvtrx Kozm: Vckzmwrmt nzipvg hsziv, hgivmtgsvmrmt xloozylizgrlm drgs hfkkorvih orpv ZYX Hfkkorvh Xl., qlrmg evmgfivh zmw yrw kilklhzoh rmxofwrmt $3.6n uli Kilqvxg BJ501_KI.",AtBash
Enterprise Sensitive Data,Business Information,"Upcoming marketing strategy: Digital footprint expansion, influencer partnerships, budget: $5 million for the next quarter.","Fkxlnrmt nzipvgrmt hgizgvtb: Wrtrgzo ullgkirmg vckzmhrlm, rmuofvmxvi kzigmvihsrkh, yfwtvg: $5 nroorlm uli gsv mvcg jfzigvi.",AtBash
Enterprise Sensitive Data,Business Information,"Confidential report: Corporation XYZ plans to enter Southeast Asia by Q3 2024, including workforce training and a $150 million bidding proposal for an infrastructure project.","Xlmurwvmgrzo ivklig: Xliklizgrlm CBA kozmh gl vmgvi Hlfgsvzhg Zhrz yb J3 2024, rmxofwrmt dlipulixv gizrmrmt zmw z $150 nroorlm yrwwrmt kilklhzo uli zm rmuizhgifxgfiv kilqvxg.",AtBash
Enterprise Sensitive Data,Business Information,"Confidential report: Marketing strategies for the upcoming year, digital advertising investment, projected 25% brand visibility increase, 20% profit increase.","Xlmurwvmgrzo ivklig: Nzipvgrmt hgizgvtrvh uli gsv fkxlnrmt bvzi, wrtrgzo zwevigrhrmt rmevhgnvmg, kilqvxgvw 25% yizmw erhryrorgb rmxivzhv, 20% kilurg rmxivzhv.",AtBash
Enterprise Sensitive Data,Intellectual Property,Application No. PAT-202310015648; Inventor: John A. Doe.,Zkkorxzgrlm Ml. KZG-202310015648; Rmevmgli: Qlsm Z. Wlv.,AtBash
Enterprise Sensitive Data,Intellectual Property,"Patent information, internal technical documents, and copyright data.","Kzgvmg rmulinzgrlm, rmgvimzo gvxsmrxzo wlxfnvmgh, zmw xlkbirtsg wzgz.",AtBash
Enterprise Sensitive Data,Intellectual Property,Product design plan for the high-efficiency solar panel prototype.,Kilwfxg wvhrtm kozm uli gsv srts-vuurxrvmxb hlozi kzmvo kilglgbkv.,AtBash
Enterprise Sensitive Data,Intellectual Property,"Registered design for the digital interface aesthetic, Patent No. 2047-DI-29.","Ivtrhgvivw wvhrtm uli gsv wrtrgzo rmgviuzxv zvhgsvgrx, Kzgvmg Ml. 2047-WR-29.",AtBash
Enterprise Sensitive Data,Intellectual Property,"Trademark: GlimpseTech, Registration No. 3589274, owned by Visionary Innovations LLC.","Gizwvnzip: TornkhvGvxs, Ivtrhgizgrlm Ml. 3589274, ldmvw yb Erhrlmzib Rmmlezgrlmh OOX.",AtBash
Enterprise Sensitive Data,Intellectual Property,"Registrant contact: contact@vinnovations.com; Registration date: March 15, 2022.","Ivtrhgizmg xlmgzxg: xlmgzxg@ermmlezgrlmh.xln; Ivtrhgizgrlm wzgv: Nzixs 15, 2022.",AtBash
Enterprise Sensitive Data,Intellectual Property,"Product test: AlphaV1 Load Test, Result: Pass, Minor latency observed.","Kilwfxg gvhg: ZokszE1 Olzw Gvhg, Ivhfog: Kzhh, Nrmli ozgvmxb lyhvievw.",AtBash
Enterprise Sensitive Data,Intellectual Property,"Patent ID: US10203456B, Patent owner: TechNova Innovations, Filing date: July 15, 2021.","Kzgvmg RW: FH10203456Y, Kzgvmg ldmvi: GvxsMlez Rmmlezgrlmh, Urormt wzgv: Qfob 15, 2021.",AtBash
Enterprise Sensitive Data,Intellectual Property,Algorithm ID: A148GH9 — Predictive Market Analysis — Proprietary algorithm by TechInnovate Corp.,Zotlirgsn RW: Z148TS9 — Kivwrxgrev Nzipvg Zmzobhrh — Kilkirvgzib zotlirgsn yb GvxsRmmlezgv Xlik.,AtBash
Enterprise Sensitive Data,Intellectual Property,"IC790-2023-TR-NV, Confidential Manual for Quantum Processor QPR-X4, with schematics and protocols.","RX790-2023-GI-ME, Xlmurwvmgrzo Nzmfzo uli Jfzmgfn Kilxvhhli JKI-C4, drgs hxsvnzgrxh zmw kilglxloh.",AtBash
Enterprise Sensitive Data,Intellectual Property,"Blueprints for widget design Version 2.0, including assembly instructions and UI layouts.","Yofvkirmgh uli drwtvg wvhrtm Evihrlm 2.0, rmxofwrmt zhhvnyob rmhgifxgrlmh zmw FR ozblfgh.",AtBash
Enterprise Sensitive Data,Intellectual Property,"SynthePure Bio-Polymer production formula: SPB-256, polymer chain ratio 1.5:3.4:2.8, catalyst CX-47.","HbmgsvKfiv Yrl-Klobnvi kilwfxgrlm ulinfoz: HKY-256, klobnvi xszrm izgrl 1.5:3.4:2.8, xzgzobhg XC-47.",AtBash
Enterprise Sensitive Data,Intellectual Property,"Patent-pending design specification PR2023_KURITY, Company Z, including batch performance analysis.","Kzgvmg-kvmwrmt wvhrtm hkvxrurxzgrlm KI2023_PFIRGB, Xlnkzmb A, rmxofwrmt yzgxs kviulinzmxv zmzobhrh.",AtBash
Enterprise Sensitive Data,Intellectual Property,"Confidential product design plans for Quantum Widget 2.0, including prototype drawings and guidelines.","Xlmurwvmgrzo kilwfxg wvhrtm kozmh uli Jfzmgfn Drwtvg 2.0, rmxofwrmt kilglgbkv wizdrmth zmw tfrwvormvh.",AtBash
Enterprise Sensitive Data,Intellectual Property,"Modular beam optics design, Prototype #SX2-481, operates with zero-margin error at 60 mph.","Nlwfozi yvzn lkgrxh wvhrtm, Kilglgbkv #HC2-481, lkvizgvh drgs avil-nzitrm viili zg 60 nks.",AtBash
Enterprise Sensitive Data,Intellectual Property,"Patent No. US2023IP123456 - Smart Sensor System for Autonomous Vehicles, including algorithm synchronization details.","Kzgvmg Ml. FH2023RK123456 - Hnzig Hvmhli Hbhgvn uli Zfglmlnlfh Evsrxovh, rmxofwrmt zotlirgsn hbmxsilmrazgrlm wvgzroh.",AtBash
Enterprise Sensitive Data,Intellectual Property,"Copyright registration for InnovateSoft, TX-345678-890, and EcoChair Design patent D908776.","Xlkbirtsg ivtrhgizgrlm uli RmmlezgvHlug, GC-345678-890, zmw VxlXszri Wvhrtm kzgvmg W908776.",AtBash
Enterprise Sensitive Data,Employee Information,"Lucas, lucas@ucc.company.com","Ofxzh, ofxzh@fxx.xlnkzmb.xln",AtBash
Enterprise Sensitive Data,Employee Information,"Jane Doe, Department: Development","Qzmv Wlv, Wvkzignvmg: Wvevolknvmg",AtBash
Enterprise Sensitive Data,Employee Information,"Employee ID: WN-05721, Name: Jane Smith","Vnkolbvv RW: DM-05721, Mznv: Qzmv Hnrgs",AtBash
Enterprise Sensitive Data,Employee Information,Non-Disclosure Agreement: Signed on 2022-03-10,Mlm-Wrhxolhfiv Ztivvnvmg: Hrtmvw lm 2022-03-10,AtBash
Enterprise Sensitive Data,Employee Information,"Tyler, Software Engineer, Research Department","Gbovi, Hlugdziv Vmtrmvvi, Ivhvzixs Wvkzignvmg",AtBash
Enterprise Sensitive Data,Employee Information,"Jordan Collins, Marketing Specialist, jordan.collins@demoenterprise.org","Qliwzm Xloormh, Nzipvgrmt Hkvxrzorhg, qliwzm.xloormh@wvnlvmgvikirhv.lit",AtBash
Enterprise Sensitive Data,Employee Information,"Employee ID: WN123456, Phone: +1-555-0123, Email: john.doe@companyemail.com","Vnkolbvv RW: DM123456, Kslmv: +1-555-0123, Vnzro: qlsm.wlv@xlnkzmbvnzro.xln",AtBash
Enterprise Sensitive Data,Employee Information,"Employee ID: 123, Salary: $90,000, Bonus: $5,000, Allowances: $2,000, Department: IT","Vnkolbvv RW: 123, Hzozib: $90,000, Ylmfh: $5,000, Zooldzmxvh: $2,000, Wvkzignvmg: RG",AtBash
Enterprise Sensitive Data,Employee Information,"Employee ID: EMP-12345, ID Card: XY123456789, Passport: P987654321","Vnkolbvv RW: VNK-12345, RW Xziw: CB123456789, Kzhhklig: K987654321",AtBash
Enterprise Sensitive Data,Employee Information,"Employee ID: 10023456, Employment Start: 2020-06-15, 4 years in Software Development","Vnkolbvv RW: 10023456, Vnkolbnvmg Hgzig: 2020-06-15, 4 bvzih rm Hlugdziv Wvevolknvmg",AtBash
Enterprise Sensitive Data,Employee Information,"Jackson, Employee ID: JD123456, Position: Software Engineer, Start Date: 2020-01-15, Location: New York Office","Qzxphlm, Vnkolbvv RW: QW123456, Klhrgrlm: Hlugdziv Vmtrmvvi, Hgzig Wzgv: 2020-01-15, Olxzgrlm: Mvd Blip Luurxv",AtBash
Enterprise Sensitive Data,Employee Information,"John Doe, Email: John.Doe@companyemail.com, Phone: +1-234-567-8901, Salary: $75,000, Bonus: $5,000, ID: 102934, Full-Time","Qlsm Wlv, Vnzro: Qlsm.Wlv@xlnkzmbvnzro.xln, Kslmv: +1-234-567-8901, Hzozib: $75,000, Ylmfh: $5,000, RW: 102934, Ufoo-Grnv",AtBash
